date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:12:29	303410/303410	---MC-	200	added ('OK')	application/json	date:Tue,%2005%20May%202026%2008:12:27%20GMT	https://old.leu.zuerich/fr/wp-json/	./old-leu-static/old.leu.zuerich/fr/wp-json/index.html	(from https://old.leu.zuerich/fr/)
10:12:29	3961/3961	---M-Z	200	added ('OK')	application/javascript	etag:%22f79-5f5ffacc3b70b-gzip%22	https://old.leu.zuerich/wp-content/themes/LEU/tools.js?ver=1.1.120260505081205	./old-leu-static/old.leu.zuerich/wp-content/themes/LEU/toolsea68.js	(from https://old.leu.zuerich/?rsd)
10:12:30	2353/2353	---M--	200	added ('OK')	application/json	date:Tue,%2005%20May%202026%2008:12:30%20GMT	https://old.leu.zuerich/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fold.leu.zuerich%2Fgewerbe%2F	./old-leu-static/old.leu.zuerich/wp-json/oembed/1.0/embed8c36.json	(from https://old.leu.zuerich/gewerbe/)
10:12:31	750/750	---M-Z	200	added ('OK')	application/rss+xml	etag:%227a9b45e7dae8f811bb0899ed336cc8f5-gzip%22	https://old.leu.zuerich/gewerbe/feed/	./old-leu-static/old.leu.zuerich/gewerbe/feed/index.html	(from https://old.leu.zuerich/gewerbe/)
10:12:31	37105/37105	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20May%202026%2008:12:31%20GMT	https://old.leu.zuerich/fr/commerce/	./old-leu-static/old.leu.zuerich/fr/commerce/index.html	(from https://old.leu.zuerich/gewerbe/)
10:12:31	36262/36262	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20May%202026%2008:12:31%20GMT	https://old.leu.zuerich/es/comercio/	./old-leu-static/old.leu.zuerich/es/comercio/index.html	(from https://old.leu.zuerich/gewerbe/)
10:12:31	2514/2514	---M-Z	200	added ('OK')	text/xml	date:Tue,%2005%20May%202026%2008:12:31%20GMT	https://old.leu.zuerich/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fold.leu.zuerich%2Fgewerbe%2F&format=xml	./old-leu-static/old.leu.zuerich/wp-json/oembed/1.0/embed1d05	(from https://old.leu.zuerich/gewerbe/)
10:12:32	9251/9251	---M-Z	200	added ('OK')	text/css	etag:%222423-5f5ff98572660-gzip%22	https://old.leu.zuerich/wp-content/themes/LEU/style.css?ver=1.1.120260505081210	./old-leu-static/old.leu.zuerich/wp-content/themes/LEU/style0256.css	(from https://old.leu.zuerich/gewerbe/)
10:12:33	6472/6472	---M--	200	added ('OK')	application/json	date:Tue,%2005%20May%202026%2008:12:33%20GMT	https://old.leu.zuerich/wp-json/wp/v2/pages/176	./old-leu-static/old.leu.zuerich/wp-json/wp/v2/pages/176.json	(from https://old.leu.zuerich/gewerbe/)
10:12:35	217849/217849	---M--	200	added ('OK')	image/jpeg	etag:%22352f9-5db711ef68b65%22	https://old.leu.zuerich/wp-content/uploads/2022/03/shutterstock_1092078692-scaled.jpg	./old-leu-static/old.leu.zuerich/wp-content/uploads/2022/03/shutterstock_1092078692-scaled.jpg	(from https://old.leu.zuerich/gewerbe/)
10:12:35	3961/3961	---M-Z	200	added ('OK')	application/javascript	etag:%22f79-5f5ffacc3b70b-gzip%22	https://old.leu.zuerich/wp-content/themes/LEU/tools.js?ver=1.1.120260505081210	./old-leu-static/old.leu.zuerich/wp-content/themes/LEU/tools0256.js	(from https://old.leu.zuerich/gewerbe/)
10:12:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20May%202026%2008:12:35%20GMT	https://old.leu.zuerich/?p=176	./old-leu-static/old.leu.zuerich/index3440.html	(from https://old.leu.zuerich/gewerbe/)
